,budget,country,cum_ww_gross,director,genre_1,genre_2,genre_3,language,mpaa_rating,ratings_count,release_date,runtime,title,url,usa_gross,user_rating
0,45000000,USA,,David L. Cunningham,Adventure,Drama,Family,English,PG,14020,2007-10-05,99.0,The Seeker: The Dark Is Rising,https://www.imdb.com/title/tt0484562,8791738.0,4.8
1,3000000,UK,,David Lean,Adventure,Drama,War,English,PG,179207,1957-12-14,161.0,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212,44908000.0,8.2
2,2700000,USA,,Richard Linklater,Drama,Romance,,English,R,198794,2004-07-30,80.0,Before Sunset,https://www.imdb.com/title/tt0381681,5792822.0,8.1
3,15000000,UK,,Mark Palansky,Comedy,Fantasy,Romance,English,PG,55949,2008-02-29,104.0,Penelope,https://www.imdb.com/title/tt0472160,10011274.0,6.8
4,35000000,Germany,94728529,Adam Shankman,Comedy,Romance,,English,PG-13,68746,2001-01-26,103.0,The Wedding Planner,https://www.imdb.com/title/tt0209475,60400856.0,5.3
5,9000000,USA,,Sean Penn,Drama,Thriller,,English,R,11701,1995-11-16,111.0,The Crossing Guard,https://www.imdb.com/title/tt0112744,832910.0,6.3
6,12000000,UK,,Pascal Chaumeil,Comedy,Drama,,English,R,28500,2014-06-05,96.0,A Long Way Down,https://www.imdb.com/title/tt0458413,13093.0,6.4
7,55000000,USA,,Mark Steven Johnson,Comedy,Romance,,English,PG-13,56007,2010-01-29,91.0,When in Rome,https://www.imdb.com/title/tt1185416,32669555.0,5.6
8,20000000,USA,22361811,Rod Lurie,Drama,Thriller,,English,R,21659,2000-10-13,126.0,The Contender,https://www.imdb.com/title/tt0208874,17872723.0,7.0
9,27000000,USA,85564310,Robert Rodriguez,Action,Adventure,Comedy,English,PG,18745,2011-08-19,89.0,Spy Kids: All the Time in the World in 4D,https://www.imdb.com/title/tt1517489,38538188.0,3.5
10,150000000,USA,196393745,Robert Zemeckis,Animation,Action,Adventure,English,PG-13,152324,2007-11-16,115.0,Beowulf,https://www.imdb.com/title/tt0442933,82161969.0,6.2
11,3300000,USA,,Alejandro Monteverde,Drama,Romance,,English,PG-13,10043,2007-11-30,91.0,Bella,https://www.imdb.com/title/tt0482463,8108247.0,7.3
12,18000000,USA,,Rob Reiner,Comedy,Drama,Romance,English,PG-13,11111,2014-07-25,94.0,And So It Goes,https://www.imdb.com/title/tt2465146,15155772.0,5.8
13,"
Budget:€15,000,000
            (estimated)
",UK,,Saul Dibb,Drama,Romance,War,English,,18108,2015-03-13,107.0,Suite Française,https://www.imdb.com/title/tt0900387,,7.0
14,32000000,USA,97918663,Brian Levant,Adventure,Comedy,Family,English,PG,25834,2005-01-21,95.0,Are We There Yet?,https://www.imdb.com/title/tt0368578,82674398.0,4.6
15,4000000,Germany,11805917,Roger Avary,Comedy,Drama,Romance,English,R,46912,2002-10-11,110.0,The Rules of Attraction,https://www.imdb.com/title/tt0292644,6532619.0,6.7
16,,USA,,Lauren Miller Rogen,Comedy,Drama,,English,TV-MA,12000,2018-08-03,98.0,Like Father,https://www.imdb.com/title/tt7170950,,6.1
17,6200000,USA,,Paul Brickman,Comedy,Crime,Drama,English,R,71090,1983-08-05,99.0,Risky Business,https://www.imdb.com/title/tt0086200,63500000.0,6.8
18,8700000,USA,7659918,Richard Linklater,Animation,Crime,Drama,English,R,97930,2006-07-28,100.0,A Scanner Darkly,https://www.imdb.com/title/tt0405296,5501616.0,7.1
19,,Japan,,Takashi Shimizu,Horror,Mystery,Sci-Fi,English,PG-13,13230,2016-04-12,97.0,Flight 7500,https://www.imdb.com/title/tt1975159,,4.8
20,300000,France,,Jean-Luc Godard,Crime,Drama,Romance,French,Not Rated,23948,1969-01-08,110.0,Pierrot le fou,https://www.imdb.com/title/tt0059592,,7.7
21,54000000,USA,,"Richard Lester, Richard Donner",Action,Adventure,Sci-Fi,English,PG,87567,1981-06-19,127.0,Superman II,https://www.imdb.com/title/tt0081573,108185706.0,6.8
22,40000000,USA,,Barbet Schroeder,Action,Crime,Thriller,English,R,15498,1995-04-21,101.0,Kiss of Death,https://www.imdb.com/title/tt0113552,14942422.0,5.9
23,70000000,USA,283980167,Gary Ross,Action,Comedy,Crime,English,PG-13,89586,2018-06-08,110.0,Ocean's Eight,https://www.imdb.com/title/tt5164214,139377762.0,6.3
24,800000,UK,,Lewis Gilbert,Comedy,Drama,,English,PG,11896,1966-08-24,114.0,Alfie,https://www.imdb.com/title/tt0060086,18871300.0,7.1
25,7400000,Denmark,,Lars von Trier,Drama,Sci-Fi,,English,R,147697,2011-05-26,135.0,Melancholia,https://www.imdb.com/title/tt1527186,3029870.0,7.1
26,2600000,USA,,Alexander Mackendrick,Drama,Film-Noir,,English,Not Rated,23376,1957-07-04,96.0,Sweet Smell of Success,https://www.imdb.com/title/tt0051036,,8.2
27,70000000,USA,171000000,Renny Harlin,Action,Adventure,Thriller,English,R,107491,1993-05-28,113.0,Cliffhanger,https://www.imdb.com/title/tt0106582,84049211.0,6.4
28,,Sweden,,Daniel Espinosa,Action,Crime,Drama,Swedish,R,15237,2010-01-15,124.0,Snabba cash,https://www.imdb.com/title/tt1291652,188870.0,6.7
29,150000000,USA,319731881,M. Night Shyamalan,Action,Adventure,Family,English,PG,133495,2010-07-01,103.0,The Last Airbender,https://www.imdb.com/title/tt0938283,131564731.0,4.1
30,,USA,,Mel Gibson,Drama,,,English,PG-13,25357,1993-08-25,115.0,The Man Without a Face,https://www.imdb.com/title/tt0107501,24760338.0,6.7
31,,UK,,David Mackenzie,Drama,Romance,Sci-Fi,English,R,49486,2011-10-07,92.0,Perfect Sense,https://www.imdb.com/title/tt1439572,2959.0,7.1
32,,UK,,Stephen Frears,Biography,Drama,History,English,PG-13,21878,2017-10-06,111.0,Victoria & Abdul,https://www.imdb.com/title/tt5816682,22245070.0,6.8
33,320000,USA,,Stanley Kubrick,Crime,Drama,Film-Noir,English,Not Rated,70904,1956-06-06,85.0,The Killing,https://www.imdb.com/title/tt0049406,,8.0
34,1000000,USA,,Joe Dante,Horror,,,English,R,26513,1981-04-10,91.0,The Howling,https://www.imdb.com/title/tt0082533,17986000.0,6.6
35,4550000,USA,,Walter Lang,Biography,Drama,Musical,English,G,21431,1956-06-29,133.0,The King and I,https://www.imdb.com/title/tt0049408,21300000.0,7.5
36,15000000,UK,9455232,Mark Romanek,Drama,Romance,Sci-Fi,English,R,126466,2010-10-15,103.0,Never Let Me Go,https://www.imdb.com/title/tt1334260,2434652.0,7.2
37,35000000,USA,,Justin Zackham,Comedy,Drama,Romance,English,R,43022,2013-04-26,89.0,The Big Wedding,https://www.imdb.com/title/tt1931435,21784432.0,5.6
38,,Italy,,Giuseppe Tornatore,Comedy,Drama,Romance,Italian,R,76613,2001-02-02,108.0,Malèna,https://www.imdb.com/title/tt0213847,3429045.0,7.5
39,100000000,Germany,100086793,Spike Jonze,Adventure,Drama,Family,English,PG,94770,2009-10-16,101.0,Where the Wild Things Are,https://www.imdb.com/title/tt0386117,77233467.0,6.8
