,budget,cum_ww_gross,release_date,title,usa_gross
0,"$425,000,000","$2,776,345,279",12/18/2009,Avatar,"$760,507,625"
1,"$410,600,000","$1,045,663,875",5/20/2011,Pirates of the Caribbean: On Stranger Tides,"$241,063,875"
2,"$330,600,000","$1,408,064,754",5/1/2015,Avengers: Age of Ultron,"$459,005,868"
3,"$317,000,000","$1,317,178,532",12/15/2017,Star Wars Ep. VIII: The Last Jedi,"$620,181,382"
4,"$306,000,000","$2,053,311,220",12/18/2015,Star Wars Ep. VII: The Force Awakens,"$936,662,225"
5,"$300,000,000","$2,014,285,135",4/27/2018,Avengers: Infinity War,"$678,815,482"
6,"$300,000,000","$963,420,425",5/24/2007,Pirates of the Caribbean: At Worldâs End,"$309,420,425"
7,"$300,000,000","$655,953,446",11/17/2017,Justice League,"$229,024,295"
8,"$300,000,000","$879,620,923",11/6/2015,Spectre,"$200,074,175"
9,"$275,000,000","$1,084,439,099",7/20/2012,The Dark Knight Rises,"$448,139,099"
10,"$275,000,000","$260,002,115",7/2/2013,The Lone Ranger,"$89,302,115"
11,"$275,000,000","$282,778,100",3/9/2012,John Carter,"$73,058,679"
12,"$260,000,000","$586,477,240",11/24/2010,Tangled,"$200,821,936"
13,"$258,000,000","$894,860,230",5/4/2007,Spider-Man 3,"$336,530,303"
14,"$250,000,000","$1,143,624,262",5/6/2016,Captain America: Civil War,"$408,084,349"
15,"$250,000,000","$867,916,274",3/25/2016,Batman v Superman: Dawn of Justice,"$330,360,194"
16,"$250,000,000","$1,017,003,568",12/14/2012,The Hobbit: An Unexpected Journey,"$303,003,568"
17,"$250,000,000","$935,083,686",7/15/2009,Harry Potter and the Half-Blood Prince,"$301,959,197"
18,"$250,000,000","$960,366,855",12/13/2013,The Hobbit: The Desolation of Smaug,"$258,366,855"
19,"$250,000,000","$945,869,788",12/17/2014,The Hobbit: The Battle of the Five Armies,"$255,119,788"
20,"$250,000,000","$1,234,908,020",4/14/2017,The Fate of the Furious,"$225,764,765"
21,"$250,000,000","$385,329,062",5/25/2018,Solo: A Star Wars Story,"$213,767,512"
22,"$232,000,000","$374,085,065",6/28/2006,Superman Returns,"$200,120,000"
23,"$230,000,000","$789,814,542",5/26/2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876"
24,"$230,000,000","$591,692,078",11/14/2008,Quantum of Solace,"$169,368,427"
25,"$225,000,000","$1,519,479,547",5/4/2012,The Avengers,"$623,279,547"
